"Yanomam","Ninam shb (IDS)  ","IDS; Gómez, Gale Goodwin 1990. The Shiriana dialect of Yanam (Northern Brazil). Ph.D. diss., Columbia University; entered by Megan Gibler",,,"ʃakawəsi (gom)",,"kalatʰa sik(ids), karatʰa (gom)","pa ari cawɯk, karat+oʃek (gom)",,,"hesi; mãlakaaʃ̌ (ids); horoto (gom)",,,,,"rorok, roronak (gom)","yalekoi(ids), cowarikoIk (gom)","tree: ~oroʃihi (gom)",,,,"maʃitɯ ɯk (gom)",,,,,,,,,,,,,,,,"fruit: ~maimak (gom),tree: ~maimasi (gom)",,,,,"lulumok, rɯrimos (gom)","naʃ̌kok; hakalakok (ids)",,,,,,"fruit: macaw (gom). Tree: macawɯk (gom)",,"rasas (gom)",,"~painori, ~mainori (gom)",,,,,,,"ʃelimuk",,"hikomik (ids), hokomok (gom)",,"pinahi",,,,,,,"~wa ahe riʃiʃi (gom)","krep+ ~ɯk (gom)",,"~hokoromak (gom)","lahok",,,,,,,,,,,,,,,,,,,,,,,,,
"Yanomam","Ninam (shb) (IDS)","IDS; Gómez, Gale Goodwin 1990. The Shiriana dialect of Yanam (Northern Brazil). Ph.D. diss., Columbia University; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; entered by Kelsey Neely",,,"$akaw@si (gom)",,"kalatha sik(ids), karatha (gom)","pa ari cawIk, karat+o$ek (gom), karata (EM72)",,,"hesi; mãlakaaš (ids); horoto (gom), hesi (EM72)",,"kanao (EM72), rãpamai (EM72) (unspecified species of cedar)",,,"rorok, roronak (gom), rorihi (EM72)","yalekoi(ids), cowarikoIk (gom)","tree: ~oro$ihi (gom)",,,,"ma$itI Ik (gom), mašitɨšəh (EM72), mošok (EM72)",,,,,,,,,,,,,,,,"fruit: ~maimak (gom),tree: ~maimasi (gom)",,,,,"lulumok, rIrimos (gom)","naškok; hakalakok (ids)","watim kok (EM72)",,,,,"fruit: macaw (gom). Tree: macawIk (gom)",,"rasas (gom)",,"~painori, ~mainori (gom)",,,,,,,"šelimuk",,"hikomik (ids), hokomok (gom)",,"pinahi, piinahi (EM72)",,,,,,,"~wa ahe ri$i$i (gom)","krep+ ~Ik (gom)",,"~hokoromak (gom)","lahok",,,,,,,,,,,,,,,,,,,,,,,,,
"Yanomam","Ninam (shb) (IDS)","IDS; Gómez, Gale Goodwin 1990. The Shiriana dialect of Yanam (Northern Brazil). Ph.D. diss., Columbia University; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; entered by Kelsey Neely",,,"ʃakawəsi (gom)",,"kalatʰa sik(ids), kaɾatʰa (gom)","pa aɾi cawɯk, kaɾat + oʃek (gom), kaɾata",,,"hesi; mãlakaaʃ̌ (ids); hoɾoto (gom), hesi",,"kanao, ɾãpamai",,,"ɾoɾok, ɾoɾonak (gom), ɾoɾihi","jalekoi(ids), cowaɾikoIk (gom)","tree: ~oroʃihi (gom)",,,,"maʃitɯ ɯk (gom), maʃitɨʃəh (EM72), moʃok (EM72)",,,,,,,,,,,,,,,,"fruit: ~maimak (gom),tree: ~maimasi (gom)",,,,,"lulumok, ɾɯrimos (gom)","naʃ̌kok; hakalakok (ids)","watim kok",,,,,"fruit: macaw (gom). Tree: macawɯk (gom)",,"ɾasas (gom)",,"~painoɾi, ~mainoɾi (gom)",,,,,,,"ʃelimuk",,"hikomik (ids), hokomok (gom)",,"pinahi, piinahi",,,,,,,"~wa ahe ɾiʃiʃi (gom)","kɾep+ ~ɯk (gom)",,"~hokoɾomak (gom)","lahok",,,,,,,,,,,,,,,,,,,,,,,,,
"Yanomam","Yanomam (guu)(EM72)","Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; Milliken, William, and Bruce Albert. 1999. Yanomami A Forest People. Royal Botanic Gardens, Kew. ; Smole, William J. 1976. The Yanoama Indians. University of Texas Press: Austin.; entered by Kelsey Neely","nana (WS76); manokorima (bold), ɨrepërima (white-haired)(both WM99, nom. Class: si)","weyeri hi (WM99)","xaraka si yai, xuhutima si, napë si (WM99 - three varieties of Gynerium sagitt.)","ahuãri hi (WM99)","koratha; manito, paixima, rëprare, rokoa, rokoma, uxipirima, xiahima, yarimɨna (all WM99, nom. Class: si)","koratha (also means plantain and banana); irokoma hanakɨ (Heliconia bihai, WM99); kõhitarima, koraha (si yai), koraha (yawere si), monakarima, monapirima, pareama, piriko, yatopra (all WM99, classifier: si)",,"hwapoma hi (WM99, fusaea longifolia)","maɨfɨs, horokoto (EM72)","wãro uhi (couepia caryophylloides), hɨha amo hi (couepia sp.), hawari hi (bertholletia excelsa)(all WM99)","haponifi, rapamafi (both unspec. Sp. Of cedar)","rioko si (WM99)","ruapa hi (WM99)","rorok; poro unahi (WM99)","buu (WS76); uxirima (black), mayëpë (toucan), aurima(white) (all WM99, nom. Class: ukɨ)",,"oru xihi (WM99)",,,"yɨ̃ɨkɨk (EM72)","xaraka ahi (WM99)",,,,,,,,,,"koanari si (WM99)","ërɨ si (WM99)",,"maha si (WM99)","kunuana si (orbignya spectabilis, WM99)","maima si (WM99)",,"kaxetema (dioscorea piperifolia, vine, not tuber WM99)","kaxetema (dioscorea piperifolia, vine, not tuber WM99)",,"shidi (WS76); uxirima (black grains), hrare (orange grains), aurima (white grains) (all WM99, nom. Class: mokɨ)","###############################################################################################################################################################################################################################################################","watim kok (EM72); nashi (WS76); raparima (""long""), uxirima (""black""), yãhihirima (""sticky"") (all WM99, nom. Class. Koko); witatirima (WM99 - sweet manioc generic term, nom class: si)",,,,"kuai si (WM99)",,,"rasha (WS76); ",,,,,,,,,,,"jucomo (WS76); ãkõtarima, õsimõhõrima, wakërima (""red"") (all WM99, nom. Class: kɨkɨ); hõkõmo uritʰeri a (WM99, wild sweet potato)",,"peenahe (EM72); bee najeco (WS76)",,,"mokamo si, yarimo si, yoroa si, yoyoma si (allWM99, all kinds of Bactris sp. Palms)","paxo hwãtemo hi (pouteria caimito), hõrõmana hi (pouteria cladantha), yãwaxi hi (pouteria hispida), poxe mamokasi hi (pouteria sp.) (all WM99)",,"õema ahi(pourouma bicolor ssp.), waraka ahi (pourouma melinonii)(both WM99)","aja aco (WS'76); aurima (""white""), keteterima (""sweet""), uxirima (""black/deep blue"") (all WM99, nom. Class: akɨ)","krepu uhi (Inga edulis WM99), rĩa moxiririma hi (inga acumitata)",,"hoko si (WM99)",,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanomam","Yanomam (guu)(EM72)","Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; Milliken, William, and Bruce Albert. 1999. Yanomami A Forest People. Royal Botanic Gardens, Kew. ; Smole, William J. 1976. The Yanoama Indians. University of Texas Press: Austin.; entered by Kelsey Neely","nana (WS76); manokoɾima (bold), ɨɾepəɾima (white-haired","wejeɾi hi (WM99)","ʃaɾaka si jai, ʃuhutima si, napə si","ahuãɾi hi","koɾatʰa; manito, paiʃima, ɾəpɾaɾe, ɾokoa, ɾokoma, uʃipiɾima, ʃiahima, jaɾimɨna","koɾatʰa, iɾokoma hanakɨ, kõhitaɾima, koɾaha (si jai), koɾaha (jaweɾe si), monakaɾima, monapiɾima, paɾeama, piɾiko, jatopɾa",,"hwapoma hi","maɨfɨs, hoɾokoto","wãɾo uhi, hɨha amo hi, hawaɾi hi","haponifi, ɹapamafi (both unspec. Sp. Of cedar)","ɾioko si","ɾuapa hi","ɹoɹok; poɾo unahi","buu (WS76); uʃiɾima, majəpə, auɾima",,"oɾu ʃihi",,,"jɨ̃:kɨk (EM72)","ʃaɾaka ahi",,,,,,,,,,"koanaɾi si","əɾi si",,"maha si","kunuana si","maima si",,"kaʃetema (WM99)","kaʃetema (WM99)",,"ʃidi; uʃiɾima, hɾaɾe, auɾima","naʃkoko,  auɾima, hajokoaɾi, hutuwisasi, pu:ʃiɾima, wakəɾima, janaema, kõamiɾima","watim kok; naʃi; ɾapaɾima, uʃiɾima, jãhihiɾima, witatiɾima",,,,"kuai si",,,"ɾaʃa",,,,,,,,,,,"hukomo, ãkõtaɾima, õsimõhõɾima, wakəɾima, hõkõmo uɾitʰeɾi a",,"pe:nahe; beenaheko",,,"mokamo si, jaɾimo si, joɾoa si, jojoma si","paʃo hwãtemo hi, hõɾõmana hi, jãwaʃi hi, poʃe mamokasi hi",,"õema ahi, waɾaka ahi","aha ako;  auɾima, keteteɾima, uʃiɾima","krepu uhi (WM99),kɾepu uhi, ɾĩa moʃiɾiɾima hi",,"hoko si",,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanomam","Yanomami (wca) (MM 07)","Mattéi-Müller, Marie-Claude 2007a. Lengua y cultura Yanomamï. Diccionario ilustrado Yanomamï-Español, Español-Yanomamï. Caracas: Epsilon Libros.; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; Finkers, Juan. 1986. Los Yanomami y su sistema alimenticio. Vicariato Apostolico de Puerto Ayacucho.; Ramirez, Henri. 1994. Le Parler Yanomamɨ des Xamatauteri. publisher unknown.; entered by Kelsey Neely","nara, nana, nara shi hi, yamaro si hi","warapa ko hi","mokoro sikɨ","ahai hi, ẽhẽi kë hi (JF86)","si, paushimɨ, ãsikiɨ, hatuhaturimɨ, tapɨta pɨrimɨ, raparimɨ, rõkõmɨ, shinapemɨ, kuratha, pareamɨ, pakatarimɨ, monarimɨ, hohorimɨ","sekisekimɨ henakɨ, shirakomɨ amo henakɨ, shirakawë henakɨ, kurata (EM72)",,,"maukəhesi (EM72), horokoto (EM72), hishima (JF86)","hawari kohi","kanawə, rapa (both EM72, unspecified species of cedar)","eteweshi","kumato hi","pohoroa ana hi, pohorowə (EM72)","puu u si, yaraka u si","wito hi","witowito hi","masimasi tʰotʰo",,"shinari ũ hi, šinani (EM72)","tohona hi",,"mamokori thotho","mai ko hi","yaraka henakɨ","tana hi",,,,"wari ma hi","hoko (JF86)","kiato",,,"yei si (HR94)","waima si, mai masi (both HR94)","moshihawë, mɨsɨkɨri si","ahë","karpiromɨ",,"yono mosi","mashi kõamirimɨ sikɨ, našikoko (EM72)","nashi mɨhɨtarimɨ sikɨ, ",,"ara amou, atama, haya henakɨ, mahekomɨ, pokoramɨ, sikõmɨ asi, tohotoho (all edible)","moshiriwë katho hi (listed under ""dividive"")","kohere, ikiyare","shamakoro hi","konopo (I. deltoidea)","rasha",,"yamaa shikɨ","hukomo (HR94)","mraka na hi","nara nou hi",,"praki",,"hishima thotho, horokoto thotho, kõa hesi thotho, orakama thotho",,"hukomo (thotho)",,"pẽẽ nahe, pẽek nahe (EM72)",,,,"makararowë (JF86), apia (HR94, pouteria sp.)",,"kõmõra si","kapiriomɨ, haimarimi (JF86), ohina mo (HR94), aria mo (HR94)","kepõ, krepo (HR94)","rua mo hi","hoko mahi (HR94)","hõrema u sikiɨ, wana (HR94), tora (HR94)",,,,"kanimari ãhi",,,,,,,,,,,,,,,,,,,,,
"Yanomam","Yanomami (wca) (MM 07)","Mattéi-Müller, Marie-Claude 2007a. Lengua y cultura Yanomamï. Diccionario ilustrado Yanomamï-Español, Español-Yanomamï. Caracas: Epsilon Libros.; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; Finkers, Juan. 1986. Los Yanomami y su sistema alimenticio. Vicariato Apostolico de Puerto Ayacucho.; Ramirez, Henri. 1994. Le Parler Yanomamɨ des Xamatauteri. publisher unknown.; entered by Kelsey Neely","naɾa, nana, naɾa ʃi hi, jã̃mãɾo si hi","waɾapa ko hi","mokoɾo sikɨ","ahai hi, ẽhẽi kə hi","si (nominal classifier for bananas); pauʃimɨ, ã̃sikɨ(JL72), hatuhatuɾimɨ, tapɨta pɨɾimɨ, ɾapaɾimɨ, ɾõkõmɨ, ʃinapemɨ (all M. acuminata); kuɾatʰa, paɾeamɨ, pakataɾimɨ, monaɾimɨ, hohoɾimɨ (all M. Paradisiaca)","sekisekimɨ henakɨ (H. cf. acuminata), ʃiɾakomɨ amo henakɨ (H. bihai), ʃiɾakawə henakɨ (H. densiflora)",,,"maɾaka hi, hoɾokoto, hiʃima","hawaɾi kohi (B. excelsa)","kanawə, ɾapa","eteweʃi","kumato hi","pohoɾoa ana hi, pohoɾowə (EM72)","pu: u si, jaɾaka u si","wito hi","witowito hi","masimasi tʰotʰo",,"ʃinaɾi ũ hi (G. barbadense)","tohona hi (Manilkara sp.)",,"mamokoɾi tʰotʰo","mai ko hi","jaɾaka henakɨ","tana hi (Genipa americana)",,,,"waɾi ma hi","hoko (JF86)","kiato",,,"jei si","ʋaima si, mai masi","moʃihawə, mɨsɨkɨɾi si","ahə (D. trifida)","kapiɾomɨ (generic term)",,"jono mosi","naʃi kõamiɾimɨ sikɨ (M. esculenta), naʃikoko","naʃi mɨhɨtaɾimɨ sikɨ (M. dulcis)",,"aɾa amou, atama, haja henakɨ, mahekomɨ, pokoɾamɨ, sikõmɨ asi, tohotoho","moʃiɾiwə katʰo hi","koheɾe, ikijaɾe","ʃamakoɾo hi","konopo (I. deltoidea)","ɾaʃa",,"jama: ʃikɨ (Ananas parhuasensis)","hukomo","mɾaka na hi (licania sp.)","naɾa nou hi",,"pɾaki",,"hiʃima tʰotʰo, hoɾokoto tʰotʰo, kõa hesi tʰotʰo, oɾakama tʰotʰo",,"hukomo (tʰotʰo)",,"pẽ: nahe, pẽek nahe",,,,"makaɾaɾowə, apia",,"kõmõɾa si","kapiɾiomɨ, haimaɾimi, ohina mo, aɾia mo","kepõ, kɾepo","ɾua mo hi","hoko mahi (HR94)","hõɾema u sikiɨ, ʋana, toɾa",,,,"kanimaɾi ãhi",,,,,,,,,,,,,,,,,,,,,
"Yanomam","Sanuma (xsu) (EM72)","Taylor, Kenneth I. 1972. Sanuma (Yanoama) food prohibitions: the multiple classification of society and fauna. Ph.D. diss. Madison: University of Wisconsin.; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; entered by Kelsey Neely ",,,,,"okoma (EM72)","okoma (EM72)",,,"kaukusɨ (EM72), holokoto (EM72)",,"kanawati (EM72) (unspecified species of cedar)",,,"polama, loa (EM72)",,,,,,"šinanu (EM72)",,,,,,,,,,,,,,,,,,,,,,"našikoko (EM72)","walemo koko (EM72)",,,,,,,,,,,,,,,,,,,,"pini (EM72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanomam","Sanuma (xsu) (EM72)","Taylor, Kenneth I. 1972. Sanuma (Yanoama) food prohibitions: the multiple classification of society and fauna. Ph.D. diss. Madison: University of Wisconsin.; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; entered by Kelsey Neely ",,,,,"okoma (EM72)","okoma (EM72)",,,"kaukusɨ (EM72), holokoto (EM72)",,"kanawati",,,"polama, loa (EM72)",,,,,,"ʃinanu",,,,,,,,,,,,,,,,,,,,,,"naʃikoko","walemo koko (EM72)",,,,,,,,,,,,,,,,,,,,"pini (EM72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Akawaio ake Orthographic","Edwards 1980 MAR","anondö",,,,"meguuruu","paruuruu","aguubiijii (bora beans)",,"arabö",,"koopeeree ek (cedrela odorata)",,,,"chiigaruu","eeroi","eeroi",,,"ködökkwak","parakta ek; kanau ek","karaba ek",,"moyongbiiyuu (gum)",,,,,,,,,,,,,,,,,"aknaik","eegii","kaknarii",,"kabiiyakkwa (cream colored), kuuwarang bana (dark brown), korgoobiichoo (fluffy), kömɨrɨsee (spiky orange-colored), aguubana (tiny), kara-gara (white)",,,,,,"mopa","kaiwarak","sak",,"arawiing",,"pɨmɨi (pepper)",,,,"sak",,,,,,,,,"naböi (yam)",,,,"kwama",,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Akawaio ake Phonemic","Edwards 1980 MAR","anɔndö",,,,"mɛguru","paruru","agubidʒi",,"arabö",,"kopere ɛk ",,,,"tʃigaru","erɔɪ","erɔɪ",,,"ködöʔkwak","paraʔta ɛk; kanaʊ ɛk","karaba ɛk",,"mɔyɔŋbiyu",,,,,,,,,,,,,,,,,"aʔnaɪk","egi","kaʔnari",,"kabiyaʔkwa, kuwaraŋ bana, kɔrgobitʃo, kömɨrɨse, agubana, kara-gara",,,,,,"mɔpa","kaɪwarak","sak",,"arawiŋ",,"pɨmɨɪ",,,,"sak",,,,,,,,,"naböɪ",,,,"kwama",,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Carijona cbd Orthographic","Durbin and Seijas, 1973, MAR",,,,,"paru",,,,,,,,,,"susuma",,,,,,,,,,,,,,,,,,,,"jarejo",,,,,,,,,,,,,,,,,,,,,,,,,,,,"tamwinto",,,,,,,"nahake (generic yam)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","pbh Eñepa
 IDS orthographic","Mattei-Muller 1994, MAR","wachiyo' (arbol), wache (fruta) (MM)",,"karana mënkae, choowi Var. choowin, wajpa (MM)","apo', Var. apok (MM)","kampuure (MM)","paaru (MM)","ehčipen",,"maraʔ; këtëmyo' (MM)",,,"anka, ankayo' (palma), ankayano (fruta) (MM)","yajpë, Var. yajë (MM)",,"karana; Var. kanara (MM)","ko'me' (fruta), ko'ne'cho' (arbol (MM) (def. cacahuete)","ko'me' (fruta), ko'ne'cho' (arbol (MM) (def. cacahuete)","ke'ñatë (MM)",,"tokëtë (fruta o materia), tokëtiyo' (planta) (MM)",,,"mankawae, Var. mankowae, mankawaeyo' (MM)","makïya (MM)","kanatïnto, kayen (MM)","anku' (fruta), anku'cho' (arbol) Var. ankujcho' (MM)",,,,"maka (MM)","kuruwa (MM) mapoñ- similar to this species, but not identical, scientific name not given","osae","osae","osae","osae","osae","osae","cho', -chokun (MM)","cho', -chokun (MM)","ko'kin (MM)","keʔɲak; ke'ña', Var. ke'ñat, ke'ñai (MM)","uto (general);  utoñe (bitter); u'puru', puru'kutya, u'surai (other types of bitter) (MM)","uto (general); amaka (sweet) (MM)",,"paakaew'chareñ, panako (MM)",,,"paaya (MM)","osae","osae","ko'me' (fruta), ko'ne'cho' (arbol (MM)","onke (fruta), onkiyo' (mata) (MM)","wanka kaik mən; cho', -chokun (tuber), chojcho' (mata) (MM)",,,,"pimi; kusa' (MM)",,"kaya ma; këtëm (MM)",,"čok; cho', -chokun (MM)","kanawa patan, tañumën patan, kauchu (MM)","kowae; kawae kawaeyo' (planta) (MM)",,,"osae; kuruwa; anka",,,,"čok; cho', -chokun (MM)","moya, mooya (MM)","ya'rapaayayo' (MM)","osae; kuruwa; anka","tapi; kasanka; wajpa, matai'wa, wamu (MM)",,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","pbh Eñepa IDS phonemic","Mattei-Muller 1994, MAR","watʃiyoʔ (arbol), watʃe (fruta) (MM)",,"karana mënkae, tʃoowi Var. tʃoowin, wahpa (MM)","apoʔ, Var. apok (MM)","kampuure (MM)","paaru (MM)","ehtʃipen",,"maraʔ; këtëmjoʔ (MM)",,,"anka, ankajoʔ (palma), ankajano (fruta) (MM)","jahpë, Var. yahë (MM)",,"karana; Var. kanara (MM)","koʔmeʔ (fruta), koʔneʔtʃoʔ (arbol (MM) (def. cacahuete)","koʔmeʔ (fruta), koʔneʔtʃoʔ (arbol (MM) (def. cacahuete)","keʔɲatë (MM)",,"tokëtë (fruta o materia), tokëtijoʔ (planta) (MM)",,,"mankawae, Var. mankowae, mankawaejoʔ (MM)","makïja (MM)","kanatïnto, kajen (MM)","ankuʔ (fruta), ankuʔtʃoʔ (arbol) Var. ankuhtʃoʔ (MM)",,,,"maka (MM)","kuruwa (MM) mapoɲ- similar to this species, but not identical, scientific name not given","osae","osae","osae","osae","osae","osae","tʃoʔ, -tʃokun (MM)","tʃoʔ, -tʃokun (MM)","koʔkin (MM)","keʔɲak; keʔɲaʔ, Var. keʔɲat, keʔɲai (MM)","uto (general); utoɲe (bitter); u?puru?, puruʔkutya, uʔsurai (other types of bitter) (MM)","uto (general); amaka (sweet) (MM)",,"paakaew?chareɲ, panako (MM)",,,"paaja (MM)","osae","osae","koʔmeʔ (fruta), koʔneʔtʃoʔ (arbol (MM)","onke (fruta), onkijoʔ (mata) (MM)","wanka kaik mən; tʃoʔ, -tʃokun (tuber), tʃohtʃoʔ (mata) (MM)",,,,"pimi; kusaʔ (MM)",,"kaya ma; këtëm (MM)",,"tʃok; tʃoʔ, -tʃokun (MM)","kanawa patan, taɲumën patan, kautʃu (MM)","kowae; kawae kawaejoʔ (planta) (MM)",,,"osae; kuruwa; anka",,,,"tʃok; tʃoʔ, -tʃokun (MM)","moja, mooja (MM)","jaʔrapaajajoʔ (MM)","osae; kuruwa; anka","tapi; kasanka; wahpa, mataiʔwa, wamu (MM)",,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Makiritari (MCH) Orthography",,,,,,,"hadu:du (KH)",,,"etü:dötoho (KH) (means 'sacred calabash, gourd'), kankudu (KH) (means 'gourd'), weyama (KH) (means 'large gourd or pumpkin')",,,,,,"öshi:cha:dü (KH)",,,"wö:'nö (KH) (means 'fiber cord or twine used in making baskets')",,"wade:ku: (KH)",,,,,,,,,,,,"kudai (KH) ('a type of palm')",,"kudai (KH) ('a type of palm')",,,,,,,"ənɲa (IDS)","kɨdēde (IDS); yada:di (KH) (means 'fermented beverage made from bitter manioc')","küde:de (KH) (means 'manioc')",,,,,"maha:ya (KH)",,,,"wana:deke (KH)","šāku (IDS); sha:ku (KH)",,,,"homi (KH) (means 'peppers, spice, hot sauce')",,,,,,"kawai (IDS) ( Also čāwaiʔčɨ, 3rd person possessed form); ka:wai (KH)",,,,,,,,,,,"dahu (IDS), (KH); wana (KH) (bamboo used in flutes)",,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Makushi (mbc) orthographic","Carson, Neusa 1979. Key 1997. Melody A Ross",,,,,"parurú",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aʔanáí","kɨséra (generic manioc)","kɨséra (generic manioc)",,,,,,,,,"kaiurá",,,,,"pimí",,,,,,"kawáí",,,,,,,"pomói",,,,"dahu; wana (KH)",,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Makushi (mbc) phonemic","Carson, Neusa 1979. Key 1997. Melody A Ross",,,,,"parurú",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aʔanáí","kɨséra (generic manioc)","kɨséra (generic manioc)",,,,,,,,,"kaiurá",,,,,"pimí",,,,,,"kawáí",,,,,,,"pomói",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Makushi (mbc) phonemic","Carson, Neusa 1979. Melody A Ross",,,,,"parurú",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aʔanáí","kɨséra (generic manioc)","kɨséra (generic manioc)",,,,,,,,,"kaiurá",,,,,"pimí",,,,,,"kawáí",,,,,,,"pomói",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Pemon (AOC) Orthography (All entries from CA1981)","Armellada, Cesáreo 1981. Karina Baeza; Edwards 1980. Melody A Ross. Edwards 1977. Melody A Ross","anonte; anontö (E1980)",,,,"erupa; erpa (E1980)","paruru, kurantana, mekuru","akupichi",,"arapö (E1980)",,"kopiri-yek/koperiyek; kopeeree yek (cedrela odorata) (E1980)",,,,"chikaruu","eeroi (E1980)","eeroi (E1980)",,,"ketewak; kötökkwak (E1980)","parakta yek; kanau yek (E1980)","karapa yek (E1980)","kumarwa","iiteemuung",,,,,,,"kuarumada (means seje)",,,,,,,,,,"aknaik","kesera; kɨsee (E1980)","kanari; kaknarii (E1980)",,"eenuura (cream colored), kwarang pana (dark brown), korköpiicha (fluffy), akuupana (tiny), kara-kara (white) (E1980)",,,"mapada",,,"anepu; mopa (E1980)","kaiwarak (ananas sativa)","chak (E1980)",,"arawiing yek (E1980)",,"pömɨii (pepper) (E1980)",,,,"ichak",,"kavai, tamu",,,,,,,"pricha; napöi (yam) (E1980)",,,,"waronka (escpecie de bambú usada en la región de kamarata y limítrofes para bastón en los bailes del parichara y como aljaba de las flechitas de la cerbatana); uruse (especie de bambú delgadito); rue (especie de bambú muy delgado, del que hacen pitos para el baile del tukui); kwama (E1980)",,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Pemon (AOC) IPA (All entries from CA1981)","Armellada, Cesáreo 1981. Karina Baeza; Edwards 1980. Melody A Ross. Edwards 1977. Melody A Ross","anonte; anɔntö (E1980)",,,,"eɾupa; ɛrpa (E1980)","paɾuɾu, kuɾantana, mekuɾu","akupitʃi",,"arapö (E1980)",,"kopeɾidʒek; kɔpere ʎɛk (E1980)",,,,"tʃɪkaru (E1980)","erɔɪ (E1980)","erɔɪ (E1980)",,,"ketewak; kötöʔkwak (E1980)","paraʔta yek; kanaʊ ʎɛk (E1980)","karapa ʎɛk (E1980)","kumaɾwa","itemuŋ (E1980)",,,,,,,"kuaɾumada",,,,,,,,,,"aʔnaɪk","keseɾa; kɨse (E1980)","kanaɾi; kaʔnari (E1980)",,"enura, kwaraŋ pana, kɔrköpitʃa, akupana, kara-kara (E1980)",,,"mapada",,,"anepu; mɔpa (E1980)","kaɪwarak (E1980)","tʃak (E1980)",,"arawiŋ ʎɛk (E1980)",,"pömɨi (E1980)",,,,"itʃak",,"kavai, tamu",,,,,,,"pɾitʃa;  napöɪ (E1980)",,,,"waɾonka, uɾuse, ɾue; kwama (E1980)",,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Waimiri Atroari","Bruno, 2004. Melody A Ross",,,,,"woky",,,,,"tetyky",,"mixi 'buriti fruit'",,,"awaxi",,,,,,,,,,,,,,,,"patuwa",,,,,,,,,,,"minja",,,,,,"mabaia",,"merepy",,"nana",,,,,,,,,,,,,,,,,,,,,"kymy 'bacaba berry'",,,,,,,,,,,,,,,,,,,,,,,,,,
"Carib","Waimiri Atroari","Bruno, 2004. Melody A Ross",,,,,"wokɨ",,,,,"tetɨkɨ",,"miʃi 'buriti fruit'",,,"awaʃi",,,,,,,,,,,,,,,,"patuwa",,,,,,,,,,,"miɲa",,,,,,"mabaja",,"merepɨ",,"nana",,,,,,,,,,,,,,,,,,,,,"kɨmɨ 'bacaba berry'",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cariban","Yabarana","Méndez Arocha, A. 1959. Un vocabulario yabarana con apuntes fonémicos. Antropológica 7: 63-84. AP",,,,,,"paru",,,,,"maru'raimə",,,,"ka'rana",,,,,,,,"marawa",,,,,,,"máca",,,,,,,,,,,"nati, natiapə","sere, ma'juko","ámaka",,,,,,"kupa",,,"jore",,,,,"kɨ'məi",,,,,,"ka'wai",,,,,,,,,,,,,,,"kuma",,,,,,,,,,,,,,,,,,,,,
"Cariban","Yukpa","Vegamian, Félix María de 1978. Diccionario ilustrado yupa-español, español-yupa, con onomástica y apuntaciones gramaticales. Guarenas/Caracas: Formateca. AP",,,,,,"kurátana",,,"kui, pʃáʃk ( r)",,"koriyisi",,,,"paro",,,"chiminia",,"mabu",,,,,"wɨsa ( r)","mamón ( r)",,,,,"koruba",,,,,,,,,"nemo","ipistapó, míʃk( r)",,"po",,,,,"kámare, mapaya","teua",,,"pita","chak",,,,"jari",,,,"sak",,"tápak",,,,,,,"ɲáme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cariban","Yukpa","Robayo, 2000 in González de Pérez, M. S. and M. L. Rodríguez de Montes (eds.). 2000. Lenguas indígenas de Colombia: una visión descriptiva. M. S. Bogotá: Instituto Caro y Cuervo. AP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
