,,"English","agouti (Black agouti, Black-rumped agouti)","Green Acouchi","alligator","anaconda","ant: leaf-cutter ant","ant: bullet ant; lesser giant hunter ant","armadillo","bat","bee","boa","caterpillar (edible)","tufted capuchin monkey","cicada","collared peccary","cotamundi","cricket","deer","dog (domestic)","dog (wild; bush dog) ","Amazon dolphin","duck","electric eel","fish (generic)","fish (large type)","flea","anteater","brown woolly monkey","hawk","tayra, honey marten","howler monkey (red-handed)","hummingbird","iguana","jaguar","jungle cat","Gray-winged Trumpeter","mandi catfish","pacu fish","tigerfish","guan","White-fronted spider monkey","kingfisher","capybara","paca (lowland)","louse","macaw","manatee","mouse","opossum","Giant Otter","Neotropical Otter (small)","owl (large)","parrot","Tinamou","White-lipped peccary","pirana","porcupine","praying mantis","Amazonian marsh rat","Great egret","sand fly, black fly","sloth","small lizard","snake (generic)","snake (poisonous generic) or rattlesnake","speckled catfish","squirrel","tapir (South American Tapir)","termite","tortoise (Red foot, Yellow foot/Giant)","toucan","vulture","wasp","Curassow","woodpecker","Greater Grison (ferret type)","Goeldi's marmoset","White fronted capuchin","Smooth-billed Ani","angleworm","butterfly","centipede","cockroach","crab","dove","dragonfly","edible palm-dwelling larva (palm weevil)","lightning bug","moth","scorpion","snail","spider","stingray","tick","toad","walking stick (insect)","bird","mosquito","blowfly, housefly",,,,,,,
"Tucanoan","Yuruti (ortho)","Buell, E","búu",,"ɨ́so",,,,"pã́bõ","óso","bõõbĩã-wɨ̃","pĩdõ",,,,"jese",,,"jã́bã","díaji",,,,,"wái",,"dɨ̃́kõwẽ","bɨ́ko",,,,"ébõãbɨkɨ","bĩ́bĩ","juaso","jái",,,,,,"káta","wa'ú",,"díajese","sẽ́ẽbẽ","kía-wɨ̃","bã'ã́",,"wĩ́ĩpotɨ ('páigɨ 'rat')",,"día-tɨ̃bɨ̃",,"bɨ́pɨ","wéko",,"jesesusura","bɨ́",,,,,,,,"ã́jã",,,,"wékɨ","búutua-wɨ̃","kúu","dásee",,,,,,,"a'ké",,,,,,,,,,,,,,"bɨ́pɨ",,,"tɨ'bɨ́ɨro",,,,,,,,,,,"
"
"Tucanoan","Orejon (orthographic)","""Velie, Daniel and Velie Virginia. (2008) (second edition). Vocabulario orejon. Serie Lingüística Peruana No. 16. Yarinacocha, ILV.
","codome ago (ago is a copular enclitic which marks female gender), moñeteaco ago, maiteaco ago","quɨña ago, maso ago","ñucabɨ ago","jai aña aguɨ (aguɨ marks male gender)","meca aguɨ","ñata aguɨ, bai aguɨ, yabio ago","totohaquɨ aguɨ, ichi totohaqui aguɨ ","oyo aguɨ, mai oyo aguɨ","oa aguɨ, agudo aguɨ (Spanish loan) ",,"badobɨ i aguɨ","bo taque aguɨ","naichieco ago, oconini ago, ueguɨ aguɨ","caocoa aguɨ, yau aguɨ","chichibɨ aguɨ","macatiti ago, musu ago, beguɨ aguɨ","bosa aguɨ","yai joyi aguɨ (yai=tigre)","yeso ago (wild dog), coque ago","bɨbɨ ago","patu ago (Spanish loan)","doaquɨ aguɨ","yadibai ago","dodu aguɨ","ɨ ago","aimano ago","náso aguɨ","bibe aguɨ",,"jaiquɨ aguɨ","mimi aguɨ","mɨigɨ ago","jai yai aguɨ, jai mɨmɨdi aguɨ","bai yai aguɨ","tɨtɨ ago","chidiyo aguɨ","bɨebɨtiaco ago",,"timɨ ago ","bo taque ago (bo=white color)","baitoto aco ago","yuada ago","bai ago, seme ago","ɨ ago",,"oco daca vaca ago (oco=agua), daca (liquido), (vaca is a Spanish loan)","nacochi aguɨ",,,"yao ago","ugu ago","beco aguɨ, todi aguɨ","biyo aguɨ, bɨ aguɨ","bai aguɨ, bɨdɨ aguɨ","uji aco ago","toto ago",,,"jɨoquɨ ago",,"badobɨ ago","chido ago","aña aguɨ","yiayacoti aña aguɨ (yiaya=crecer el río; aña=culebra)",,"sɨsɨco ago","bequɨ aguɨ","yuyu aguɨ","meniyo ago","ñase aguɨ, pidu aguɨ","pɨpɨdɨ aguɨ","uti aguɨ","ɨjebɨ aguɨ","cone aguɨ",,"chichi ago",,,"bachi aguɨ","mɨmɨ ago","coña ago, ate aguɨ","bedio ago ","cami ago","becotu ago","botasaco ago","nebɨhaquɨ ago",,"bɨjo ago","mɨni ago","a ago","jɨjɨ ago",,"code ago","dobɨ ago, magudo ago
",,,,,,,,,,,
"Tucanoan","Orejon (phonemic)","Daniel","korome ago, moɲeteako ago maiteako ago","kɨɲa ago, maso ago","ɲukabɨ ago","xai aɲa agɨ","meka agɨ","ɲata agɨ, bai agɨ, jabio ago","totohakɨ agɨ, itʃi totohakɨ agɨ","ojo agɨ, mai ojo agɨ ","oa agɨ, agudo agɨ",,"barobɨ  ı̃ agɨ","bo tãke agɨ","naitʃieko ago, okonini ago, uegɨ agɨ  ","kaokõa agɨ, jau agɨ ","tʃitʃibɨ agɨ","makatiti ago, musu ago, bagɨ agɨ ","bosa agɨ","jai xoji agɨ","jeso ago, kõke ago","bɨbɨ ago","patu ago","doakɨ agɨ","jadibai ago ","dodu agɨ","ɨ̃ ago","aimano ago","naso agɨ","bibe agɨ̃",,"xaikɨ agɨ","mimi agɨ","mɨigɨ ago","xai jai agɨ, xai mɨmɨdi agɨ ","bai jai agɨ","tɨ̃tɨ ago ","tʃirijo agɨ","bɨebɨtiako ago",,"timɨ ago ","bo tãke ago","baitoto ako ago","juara ago","bai ago, seme ago","ɨ̃ ago",,"oko daka baka ago","nakotʃi agɨ",,,"jao ago","ugu ago","beko agɨ, todi agɨ ","bijo agɨ, bɨ agɨ ","bai agɨ, bɨdɨ agɨ","uxi ako ago ","toto ago ",,,"xɨokɨ ago ",,"badobɨ ago","tʃido ago","aɲa agɨ","jiajakoti aɲa agɨ",,"sɨsɨko ago","bekɨ agɨ","juju agɨ","menijo ago","ɲase agɨ, pidu agɨ","pɨpɨdɨ agɨ","uti agɨ","ɨ̃xebi agɨ","kone agɨ",,"tʃitʃi ago",,,"batʃi agɨ","mɨmɨ ago","koɲa ago, ãte agɨ ","bedio ago ","kami ago","bekotu ago","botasako ago","nebɨhakɨ ago",,"bɨxo ago","mɨni ago","a ago","jɨ̃jɨ̃ ago",,"kode ago","dobɨ ago, maguro ago
",,,,,,,,,,,
"Tucanoan ","Koreguaje (orthographic)","""Cook, Dorothy and Gralow, Frances. 2001. Diccionario bilingüe: Koreguaje - Español, Español - Koreguaje. Bogotá: Editorial Alberto Lleras Camargo. 
","vʉ","vʉ","okoroche","ãkue aña","meka","jñata","jamu","ocho","o'a","ãkue aña"," ı̃'i","tãke","chocho","sẽse, cha'o sẽse","cuẽji","pũs'u","maa nãma,nãma ","jamuchai","kuiso",,"pete (Spanish loan?)","cu'e","va'i, chiacha va'i",,"sãkʉ","chuchu",,"pĩ'a tao (tao=eagle)",,"emú","mimi","kuechoo","chai","chai",,,,,"tã'umu",,"sã'sa","kuẽso","seme","cʉ'ʉ","maa",,"sʉa",,,"cha'o","cucu","naso veko","pʉ'koro",,"puñu","so'to",,"chiacha pẽ'eo",,,"u'u","to'oroo","aña",,,"masʉsʉko","vekʉ","chuchu","coʉ","ñase","ãuku","uti","kuĩa","kone",,,,"vʉi","aña","cucu","sʉsʉri","co'roro","ka'mi","ũ'kupo","na'isieco",,"tucu","cucu",,"ca","jʉjʉo","janameo","ko're","jojoo
",,,,,,,,,,,
"Tucanoan ","Koreguaje (phonemic)
","Daniel","bƱ","bƱ","okhorodʒe","ãkhue aɲa","mekha","ɲ̥ata","xamu","odʒo","oʔa","ãkhue aɲa"," ı̃ʔi","tãkhe","dʒodʒo","sẽse, dʒa'o sẽse","kuẽxi","pũsʔu","maa nãma,nãma ","xamudʒai","khuiso",,"phete","kuʔe","baʔi, dʒiadʒa baʔi",,"sãkhƱ","dʒudʒu",,"pĩʔa thao }",,"emú","mimi","khuedʒoo","dʒai","dʒai",,,,,"tãʔumu",,"sãʔsa","khuẽso","seme","kƱ̃ʔƱ","maa",,"sƱ̃a",,,"dʒaʔo","kuku","naso bekho","pƱʔkoro",,"puɲu","soʔto",,"dʒiadʒa pẽʔeo",,,"uʔu","thoʔoroo","aɲa",,,"masƱ̃sƱko","bekƱ","dʒudʒu","koƱ","ɲase","ãukhu","uthi","khuĩa","khone",,,,"bƱ̃i","aɲa","kuku","sƱsƱri","koʔroro","khaʔmi","ũʔkhupo","naʔisieko",,"tuku","kuku",,"ka","xƱ̃xƱo","xanameo","khoʔre","xoxoo
",,,,,,,,,,,
"Tucanoan ","Siona (orthographic)
","Huber, Randall and Reed, Robert. 1992. Vocabulario comparativo. Palabras selectas de lenguas de Colombia. ILV, Santafé de Bogotá.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucanoan ","Siona (phonemic)
","Daniel
","´wɨ",,"bɨ´ʔɨ",,,,"hã´mũ","o´jo","o´ʔa",,,"tã´ke",,"ja´ʔo",,,"jã´mã","hoʔ´ja ja´i (domesticated tiger)",,,,,"wa´ʔi",,"sɨ̃´gɨ","´mĩẽ",,,,"ẽ´mũ","mĩ´mĩ","´bɨewɨ","´jai",,,,,,"u´he","wa´ʔo",,"gwe´so","sẽ´mẽ","gɨ̃´ʔɨ̃","´mã",,"sɨ̃ʔ´sɨ̃",,,"ja´ʔo gwẽ´hĩ","gu´gu","we´ko","ku´da",,"bũ´jũ",,,,,,,,"ã´jã",,,,"we´kɨ","ju´ju","´ma go´ɨ","jã´se","wa´jo, gɨ´ta ka´do","o´ʔa",,,,,,,,,,,,,,,,,,,"hɨ̃´hɨ̃",,,"ho´ho","""
",,,,,,,,,,
"Tucanoan","Desano (Orthographic)",,," bui","diaquẽ","pĩru","megãmʉ",,"pãmu","oyo","momemʉ","pĩru","ĩhĩ","ũhrã",,"yese sũrigũ",,"porero","ñama","diaye",,,"diacara",,"wahi",,"disinomemʉ","bugu",,"ga",,,"mimi",,"yee",,,,,"pawa",,,"sãrã",,"sẽme","dipumʉramʉ","majã",,"bihi","oa",,"diatimi","bupupogabu","weco","cãreña",,,"wáru","soari",,,"ñirãgã","tebori",,,,,"wĩsõcã","wecʉ",,"peyo","nasĩ","goroporã","utimʉ",,,,,,,"dianojamʉ","puguru","ñahquĩ","sʉrirãmʉ","gãmi","buja","bore",,,,"córeba",,"bʉpʉ",,"tẽjẽ","tarubʉgʉ",,,,,,,,,,,
"Tucanoan","Desano (Phonemic)",,," bui","diakẽ","pĩru","megãmɯ",,"pãmu","oyo","momemɯ","pĩru","ĩhĩ","ũhrã",,"yese sũrigũ",,"porero","ñama","diaye",,,"diacara",,"wahi",,"disinomemɯ","bugu",,"ga",,,"mimi",,"yee",,,,,"pawa",,,"sãrã",,"sẽme","dipumɯramɯ","mahã",,"bihi","oa",,"diatimi","bupupogabu","weco","cãreña",,,"wáru","soari",,,"ñirãgã","tebori",,,,,"wĩsõcã","wecɯ",,"peyo","nasĩ","goroporã","utimɯ",,,,,,,"dianohamɯ","puguru","ñahkĩ","sɯrirãmɯ","gãmi","buha","bore",,,,"córeba",,"bɯpɯ",,"tẽhẽ","tarubɯgɯ",,,,,,,,,,,
"Tucanoan","Barasano",,,,,"hīdō","bẽka",,"hābō",,,,,,,,,,,"yai",,,,,"wai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ãya",,,,,,,"rase",,,,,,,,,,,,,,,,,,,"kotibaha","sʉ̃hʉ","bʉhʉ",,,,,,,,,,,,,,
"Isolate","Candoshi (orthograpchic)","Tuggy, John. 2008. Vocabulario candoshi de Loreto (2da. Ed). Serie Lingüística Peruana no. 2. ILV, Lima.","póllová",,"shanita","isáriyá","goozi","lliizi (brown one), kanáashiríbi (black one)","kozota","llómira, zoopi","biibi",,,"malloga","mallirsa","kazóomá","yogara","chirfallirí","mallánusi, mallansi","tomoozi","zozima","kavisha","vaatsi","sagíramá","kayopchi","payatsa","vaníisiri","makina",,"tskivi",,"zalliizi","ponxi","sódari","tomoozi","yadaana",,"karáyamoda","kpávarĩ",,"karontsi","chóopá","pagoana","gómiyá","mazaasi","iisi","karago (yellow one), sánima (red one)",,,"xopzi",,"koyadchi","poboota, abosha","kavaaro, mchaki","ktáshó","vagaana (Spanish loan?)","pánĩ",,,,"kxaakxa, áanisha",,"migaasi ",,"góyogópshi",,,"goosi, konabi (big one), pchiigo (black one)","pamara","toga","dótzá","psibsi","yapo","zaano","masho","pĩvaashi",,"michiko","michiko",,"pĩpĩ, táadá","mákawa","modĩnari","shorota","zitágóoza","mókoaka",,"mĩdópshi",,,,"gópogó","tolli",,"põtõ","""paróboró
",,,,,,,,,,,
"Isolate","Candoshi (phonemic)","Daniel","póntʃowá",,"ʃanita","isáɾijá","nkooʂi","ntʃiʂi, kanáaʃiɾimpi","koʂota","ntʃómiɾa, ʂoopi","nkiinki",,,"mantʃonka","mantʃiɾsa","kaʂóomá","jonkaɾa","tʃiɾfantʃiɾí","mantʃánusi, mantʃansi","tomooʂi","ʂoʂima","kabiʃa","waatsi","sankíɾamá","kajopntʃi","pajatsa","waníisiɾi","makina",,"tskibi",,"ʂantʃiʂi","pontʂi","sóntaɾi","tomooʂi","yantaana",,"kaɾayamonta","kpábaɾĩ",,"kaɾontsi","tʃóopá","pankoana","nkómijá","maʂaasi","iisi","kaɾanko, sánima",,,"tʂopʂi",,"kojanttʃi","pompoota, ampoʃa ","kawaaɾo, mtʃaki","ktáʃó","wankaana","pánĩ",,,,"kʂaakʂa, áaniʃa",,"minkaasi",,"nkóyonkóʃi",,,"nkoosi, konampi, ptʃiinko","pamaɾa","tonka","ntótʂa","psimpsi","japo","ʂaano","maʃo","pĩwaaʃi",,"mitʃiko","mitʃiko",,"pĩpĩ, táantá","mákawa","montĩnaɾi","ʃoɾota","ʂitángóoʂa","mókoaka",,"mĩntópʃi",,,,"nkóponkó","tontʃi",,"põtõ","""paɾómpoɾó
",,,,,,,,,,,
"Isolate","Taushiro (orthograohic)","Alicea Ortiz, Neftalí. 1975. Vocabulario taushiro. Datos etnolinguisticos no. 22. ILV, Lima.","vinti","unti´chi","hunta",,,"acha´cus","taiyin","a´cante´","u´tantan (in plural)",,,"ayo´na",,"oñonto, tahino (loan?)","a´chiva","chi´inti","hu´vevu","onanta",,"unva´ja",,"ei´tu´","ei´na",,"cuento vicha (cuento=dog)","antechiyo","shuntu","i´tova",,"va´na´","unve´",,"he´i","he´i´ca",,"uvenchinti",,,"va´jeno","sehu´",,"vei taya (vei=river, water;taya=white lipped peccari)",,"a´vicha","eivi",,"ei´ta",,,"vayo","tu´cu tu´cu","tu´chonto","a´tuva (Quechua loan)","taya","antiva","ae´uh",,,,,"hu´unta","ava´cuntu´",,,,"huven","je´hi","a´chi´chi","anti´vi","ahuan","uchiyu","ina´",,,,,"va´naha",,"año",,,,"cueha´",,,"a´tono","a´chivi´hi´",,"ta´ha´",,,,,"""honto´
",,,,,,,,,,,
"Isolate","Taushiro (phonemic)","Daniel","winti
","untiʔʃi","hunta",,,"aʃaʔkus","taijin","aʔkantɨʔ","uʔtantan",,,"ajoʔna",,"aɲonto, tahino","aʔʃiwa","ʃiʔnti","huʔwewu","onanta",,"unwaʔxa",,"ɨiʔtuʔ","ɨiʔna",,"kuɨnto wiʃa","anteʃiyo","ʃuntu","iʔtowa",,"waʔnaʔ","unwɨʔ",,"hɨʔi","hɨʔiʔka",,"uwɨnʃinti",,,"waʔxɨno","sɨhuʔ",,"wɨi taja",,"aʔwiʃa","ɨiwi",,"ɨiʔta",,,"wajo","tuʔku tuʔku","tuʔʃonto","aʔtuwa","taja","antiwa","aɨʔuh",,,,,"huʔunta","awaʔkuntuʔ",,,,"huwɨn","xɨʔhi","aʔʃiʔʃi","antiʔvi","ahuan","uʃiju","inaʔ",,,,,"waʔnaha",,"año",,,,"kuɨhaʔ",,,"aʔtono","aʔʃiwiʔhiʔ",,"taʔhaʔ",,,,,"""hontoʔ
",,,,,,,,,,,
"Yanomam","Ninam (shb) (IDS)  (orthographic)","IDS; Gómez, Gale Goodwin 1990. The Shiriana dialect of Yanam (Northern Brazil). Ph.D. diss., Columbia University; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; entered by Kelsey Neely","~$ihIna (gom), thõmɨ (EM72)","
","arasi, weri, aras+wari (gom)","komkarak, ~okarimthok, $iwhirokamak (gom)",,"šĩo (EM72), kotše (EM72) (both species unknown)","oposi (EM72)","hewesi, ","himoto (EM72)","hetIk, ~arearem@k (gom)",,,"~toromkona (gom)","po$ehi (gom)",,"~pa$ierima (gom)","haat$a (gom)","okoro (gom)",,,,"~morothotho (gom)","tšarakə (EM72)",,"~hihop (gom), ɨ̃rɨ̃hɨnə (EM72)","t@p@ (gom)",,,,"iro (gom)","tẽšo (EM72)",,"tIhI (gom)",,,,,,,"pa$o (gom)",,"kaacI (gom), katšɨ (EM72)",,"~noma (gom)","arasi (gom), kararawasi (EM72, blue), arasi (EM72, red)",,,,"hIri / hIrI(gom)",,,"wilikok",,,"arahaw (gom)","hop@hi (gom)",,,,"rõo (EM72 ""housefly""), kãyo (EM72)","mo$a+~ahi (gom), šɨmɨ (EM72)",,"rosik (gom), orɨk (EM72)","orIk (gom)",,,"$ama (gom)",,,"~herek$o (gom), matšop (EM72)","watupa (IDS), ~kokocom (gom)",,"paari (EM72)",,,,"carimi (gom)",,"ikoroamasi (gom)","arasi (gom)",,"kothapa (gom)","oko (EM72)",,,,,,,"krawkraw (gom)",,"~camaro (gom)",,"coco (gom)",,,,,,,,,,,
"Yanomam","Ninam (shb) (IDS)  (phonemic)","IDS; Gómez, Gale Goodwin 1990. The Shiriana dialect of Yanam (Northern Brazil). Ph.D. diss., Columbia University; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; entered by Kelsey Neely","~ʃihɯna (gom), tʰõmɨ",,"aɾasi, weɾi, aɾas+waɾi (gom)","komkaɾak, õkaɾimtʰok, ʃiwhiɾokamak (gom)",,"ʃĩo (EM72), kotʃe (EM72) (both species unknown)","oposi (EM72)","hewesi, ","himoto","hetɯk, ~arearemək (gom)",,,"~toɾomkona (gom)","poʃehi (gom)",,"~paʃieɾima (gom)","haatʃa (gom)","okoɾo (gom)",,,,"~moɾotʰotʰo (gom)","tʃaɾakə",,"~hihop (gom), ɨ̃ɾɨ̃hɨnə (EM72)","təpə (gom)",,,,"iɾo (gom)","tẽʃo (EM72)",,"tɯhɯ (gom)",,,,,,,"paʃo (gom)",,"kaaʧɯ (gom)",,"~noma (gom)","aɾasi (gom), kaɾaɾawasi (EM72, blue), aɾasi (EM72, red)",,,,"hɯɾi / hɯɾɯ(gom)",,,"wilikok",,,"aɾahaw (gom)","hopəhi (gom)",,,,"ɾõo, kãjo","moʃa+~ahi (gom)",,"rosik (gom), oɾɨk","oɾɯk (gom)",,,"ʃama (gom)",,,"~heɾekʃo (gom), matʃop","watupa (IDS), ~kokoʧom (gom)",,"pa:ɾi",,,,"ʧaɾimi (gom)",,"ikoɾoamasi (gom)","aɾasi (gom)",,"kotʰapa (gom)","oko",,,,,,,"kɾawkɾaw (gom)",,"~tʃamaɾo (gom)",,"tʃotʃo (gom)",,,,,,,,,,,
"Yanomam","Ninam shb (IDS)  (orthographic)","IDS; Gómez, Gale Goodwin 1990. The Shiriana dialect of Yanam (Northern Brazil). Ph.D. diss., Columbia University; entered by Megan Gibler","~$ihIna (gom)",,"arasi, weri, aras+wari (gom)","komkarak, ~okarimthok, $iwhirokamak (gom)",,,,"hewesi, ",,"hetIk, ~arearem@k (gom)",,,"~toromkona (gom)","po$ehi (gom)",,"~pa$ierima (gom)","haat$a (gom)","okoro (gom)",,,,"~morothotho (gom)",,,"~hihop (gom)","t@p@ (gom)",,,,"iro (gom)",,,"tIhI (gom)",,,,,,,"pa$o (gom)",,"kaacI (gom)",,"~noma (gom)","arasi (gom)",,,,"hIri / hIrI(gom)",,,"wilikok",,,"arahaw (gom)","hop@hi (gom)",,,,,"mo$a+~ahi (gom)",,"rosik (gom)","orIk (gom)",,,"$ama (gom)",,,"~herek$o (gom)","watupa (IDS), ~kokocom (gom)",,,,,,"carimi (gom)",,"ikoroamasi (gom)","arasi (gom)",,"kothapa (gom)",,,,,,,"krawkraw (gom)",,,"~camaro (gom)",,"coco (gom)",,,,,,,,,,,
"Yanomam","Ninam shb (IDS)  (phonemic)","IDS; Gómez, Gale Goodwin 1990. The Shiriana dialect of Yanam (Northern Brazil). Ph.D. diss., Columbia University; entered by Megan Gibler","~ʃihɯna (gom)",,"arasi, weri, aras+wari (gom)","komkarak, ~okarimtʰok, ʃiwhirokamak (gom)",,,,"hewesi, ",,"hetɯk, ~arearemək (gom)",,,"~toromkona (gom)","poʃehi (gom)",,"~paʃierima (gom)","haatʃa (gom)","okoro (gom)",,,,"~morotʰotʰo (gom)",,,"~hihop (gom)","təpə (gom)",,,,"iro (gom)",,,"tɯhɯ (gom)",,,,,,,"paʃo (gom)",,"kaaʧɯ (gom)",,"~noma (gom)","arasi (gom)",,,,"hɯri / hɯrɯ(gom)",,,"wilikok",,,"arahaw (gom)","hopəhi (gom)",,,,,"moʃa+~ahi (gom)",,"rosik (gom)","orɯk (gom)",,,"ʃama (gom)",,,"~herekʃo (gom)","watupa (IDS), ~kokoʧom (gom)",,,,,,"ʧarimi (gom)",,"ikoroamasi (gom)","arasi (gom)",,"kotʰapa (gom)",,,,,,,"krawkraw (gom)",,,"~tʃamaro (gom)",,"tʃotʃo (gom)",,,,,,,,,,,
"Yanomam","Yanomam (guu)(EM72) (orthographic)","Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; Smole, William J. 1976. The Yanoama Indians. University of Texas Press: Austin.; Milliken, William, and Bruce Albert. 1999. Yanomami A Forest People. Royal Botanic Gardens, Kew.; entered by Kelsey Neely","thõmɨ",,,,,"šiho, koye (both unknown species)","opo",,"himoto",,,,,"poxe nakɨ (WM99)",,,,"hiem (EM72)",,,,,"yuri (small, generic)",,"noma",,,,,"iro (EM72)","tẽšo (EM72)",,"tɨhɨ (EM72)",,,,,,,"pašo (EM72)",,"kayu",,"noma (EM72)","kurikaya (EM72, blue), ara (EM72, red)",,,,,,,,,,,,,,,"mroro (EM72 ""housefly""), ukiši (EM72)","šɨmɨ (EM72)",,"orukɨk (EM72)",,,,"šama (EM72)",,,"mayup (Em72)",,,"paruri",,,,,,,,,,"oko",,,"mapiapë (WM99)",,,,"sinokoma aka (WM99, giant land snail)",,,,,,,,,,,,,,,
"Yanomam","Yanomam (guu)(phonemic)","Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; Smole, William J. 1976. The Yanoama Indians. University of Texas Press: Austin.; Milliken, William, and Bruce Albert. 1999. Yanomami A Forest People. Royal Botanic Gardens, Kew.; entered by Kelsey Neely","tʰõmɨ",,,,,"ʃiho, koje (both unknown species)","opo",,"himoto",,,,,"poʃe nakɨ",,,,"hiem (EM72)",,,,,"juɾi",,"noma",,,,,"iɾo","tẽʃo (EM72)",,"tɨhɨ",,,,,,,"paʃo ",,"kaju",,"noma","kuɾikaja, aɾa",,,,,,,,,,,,,,,"mɾoɾo, ukiʃi","ʃɨmɨ",,"oɾukɨk ",,,,"ʃama ",,,"majup",,,"paɾuɾi",,,,,,,,,,"oko",,,"mapiapə",,,,"sinokoma aka",,,,,,,,,,,,,,,
"Yanomam","Yanomami (wca) (MM 07) (orthographic)","Mattéi-Müller, Marie-Claude 2007a. Lengua y cultura Yanomamï. Diccionario ilustrado Yanomamï-Español, Español-Yanomamï. Caracas: Epsilon Libros.; Migliazza, Ernest C. 1972. Yanomama grammar and intelligibility; Finkers, Juan. 1986. Los Yanomami y su sistema alimenticio. Vicariato Apostolico de Puerto Ayacucho.; Ramirez, Henri. 1994. Le Parler Yanomamɨ des Xamatauteri. publisher unknown.; entered by Kelsey Neely","thõmɨ, thõmɨmorewë, amotha (JF86)","shihena","iwa","wãkõya","koye","kashi, pore mo, suri na, šĩho (EM72), koye (EM72) (both species unknown)","opo (EM72), morõ (Cabassous unicinctus), pruʃiima (Dasypus kappleri), opo (Dasypus novemcinctus), waka (priodontes maximus), marëa (JF86)","hewë, washo","ahamɨ, akosho, amɨ kë hu, bahari, puu na, himoto (EM72)","hetu këkɨ, hokoto këkɨ","yɨmɨka (general term), fesikakɨwë, harahara, hewakëma, kasha, maya, werowero","hõsõmɨ, hoashi (JF86)","seiseimɨ kona","poshe, warë (JF86)","yarushe","kirikirimɨ, sikisikimɨ (HR94)","haya, preri","thãri, hiima (EM72)","hiima","torina","sapai","yahetipa","yuri",,"kopatashima, rihuuna (EM72)","aroto, shoko, masihoto (JF86)",,"wiiwiimɨ","hoari (JF86)","iro (alouatta seniculus)","tesho","iwawa sikɨ","ɨra, washaẽma","yao","yapi",,"paromena","jeikarari, mashapi","mãrãshi, kuremɨ","pasho","siemari, siramɨ, siemato","kayori (EM72)","amota, amotha (both HR94)","noma","ara, ara, ashiashirimɨ, kurikaya (EM72, blue), ara (EM72, red)",,"thoropo","aware, nẽro (JF86)","hetehia","proro","krukukumɨ","werehi (koko)","yoohoamɨ, hãshimo, horohoromɨ","warë","siparariwë","hiwara",,,"kono, koriuna (JF86)","mrõõ, pareto","šɨmɨ (EM72)","waraima akatʰo","oru","aroamɨ këkɨ","araremɨ","wayapashi, kario","shama, hayakoari","ãrepo (kona shi), oshe mape","totori","mayepɨ, mayopɨ (EM72), kretori (JF86), Kreomari (JF86)","watupa","kõpina","paruri","eshãmɨ, toromɨ, shuririãmɨ, thëëthëëmɨ ","ãiamo",,"hoashi","kosiremɨ, korimarisipë (JF86)",,"uwãuwãmɨ","kumarawë","hõrahesi","oko","hoya","omawe kohekɨ","ou, mati (ou)","prima ãhu","huramahe","suhi (IDS)","warora (IDS)","wariomɨ kohesi (IDS)","yãmãru","tori","yoyo","rakõ, hikɨ",,,,,,,,,,
